Date	Time	Latitude(N)	Longitude(E)
2011-07-28	11:00	 61.59433	  22.61983
2011-07-28	15:00	 61.59583	  22.62183
2011-07-28	17:00	 61.59633	  22.62250
2011-07-28	19:00	 61.59583	  22.62250
2011-07-29	03:00	 61.59600	  22.62233
2011-07-29	07:00	 61.58200	  22.59850
2011-07-29	09:00	 61.60083	  22.61100
2011-07-29	11:00	 61.60567	  22.61767
2011-07-29	15:00	 61.59650	  22.62850
2011-07-29	17:00	 61.59900	  22.63583
2011-07-29	19:00	 61.60167	  22.64000
2011-07-29	21:00	 61.60150	  22.64000
2011-07-30	03:00	 61.60417	  22.63967
2011-07-30	05:00	 61.59700	  22.61633
2011-07-30	07:00	 61.59700	  22.63983
2011-07-30	09:00	 61.56200	  22.59883
2011-07-30	11:00	 61.58433	  22.58917
2011-07-30	13:00	 61.56933	  22.59217
2011-07-30	15:00	 61.61883	  22.53517
2011-07-30	17:00	 61.59933	  22.64300
2011-07-30	19:00	 61.59583	  22.62717
2011-07-30	21:00	 61.59600	  22.62700
2011-07-31	03:00	 61.59783	  22.63083
2011-07-31	05:00	 61.59783	  22.63283
2011-07-31	07:00	 61.59683	  22.66117
2011-07-31	09:00	 61.61633	  22.56150
2011-07-31	11:00	 61.61883	  22.55533
2011-07-31	13:00	 61.60400	  22.60150
2011-07-31	15:00	 61.60650	  22.62117
2011-07-31	17:00	 61.59867	  22.63283
2011-07-31	19:00	 61.60117	  22.63650
2011-07-31	21:00	 61.60150	  22.63683
2011-08-01	03:00	 61.60100	  22.63617
2011-08-01	05:00	 61.59283	  22.61867
2011-08-01	07:00	 61.62333	  22.53417
2011-08-01	09:00	 61.60333	  22.60650
2011-08-01	11:00	 61.69717	  22.54650
2011-08-01	13:00	 61.63350	  22.55933
2011-08-01	15:00	 61.68383	  22.57183
2011-08-01	17:00	 61.69217	  22.56617
2011-08-01	19:00	 61.69167	  22.57033
2011-08-01	21:00	 61.69167	  22.57050
2011-08-02	03:00	 61.69200	  22.57033
2011-08-02	05:00	 61.69567	  22.56000
2011-08-02	07:00	 61.58733	  22.63833
2011-08-02	09:00	 61.59817	  22.61400
2011-08-02	11:00	 61.69400	  22.54717
2011-08-02	13:00	 61.69583	  22.54350
2011-08-02	15:00	 61.69133	  22.53250
2011-08-02	17:00	 61.70400	  22.54433
2011-08-02	19:00	 61.69550	  22.54550
2011-08-02	21:00	 61.69467	  22.54533
2011-08-03	03:00	 61.69400	  22.54267
2011-08-03	05:00	 61.69317	  22.55000
2011-08-03	07:00	 61.58617	  22.64017
2011-08-03	09:00	 61.58483	  22.61950
2011-08-03	11:00	 61.62850	  22.64317
2011-08-03	13:00	 61.59633	  22.62683
2011-08-03	15:00	 61.63450	  22.60850
2011-08-03	17:00	 61.60117	  22.62167
2011-08-03	19:00	 61.60450	  22.63783
2011-08-03	21:00	 61.60467	  22.63783
2011-08-04	03:00	 61.60867	  22.60950
2011-08-04	05:00	 61.60683	  22.61883
2011-08-04	07:00	 61.69900	  22.56200
2011-08-04	09:00	 61.70367	  22.55983
2011-08-04	11:00	 61.58667	  22.63833
2011-08-04	13:00	 61.69767	  22.57067
2011-08-04	15:00	 61.59500	  22.64233
2011-08-04	17:00	 61.69350	  22.54467
2011-08-04	19:00	 61.69317	  22.54083
2011-08-04	21:00	 61.69333	  22.54150
2011-08-05	03:00	 61.69283	  22.54100
2011-08-05	05:00	 61.57950	  22.58350
2011-08-05	07:00	 61.60050	  22.61533
2011-08-05	09:00	 61.68367	  22.55400
2011-08-05	11:00	 61.57950	  22.59967
2011-08-05	13:00	 61.69500	  22.55633
2011-08-05	15:00	 61.66900	  22.59400
2011-08-05	17:00	 61.69450	  22.54000
2011-08-05	19:00	 61.69233	  22.53750
2011-08-05	21:00	 61.69267	  22.53733
2011-08-06	03:00	 61.69267	  22.53567
2011-08-06	07:00	 61.62583	  22.60317
2011-08-06	09:00	 61.59833	  22.60317
2011-08-06	11:00	 61.68517	  22.54283
2011-08-06	13:00	 61.69717	  22.55500
2011-08-06	15:00	 61.65600	  22.58467
2011-08-06	17:00	 61.69983	  22.56083
2011-08-06	19:00	 61.70283	  22.56783
2011-08-07	07:00	 61.62100	  22.58183
2011-08-07	09:00	 61.70267	  22.56500
2011-08-07	11:00	 61.69917	  22.57283
2011-08-07	13:00	 61.66783	  22.67517
2011-08-07	15:00	 61.60350	  22.59017
2011-08-07	17:00	 61.66550	  22.57933
2011-08-08	03:00	 61.66517	  22.57817
2011-08-08	05:00	 61.66417	  22.57600
2011-08-08	07:00	 61.70067	  22.57217
2011-08-08	09:00	 61.69267	  22.54317
2011-08-08	11:00	 61.69183	  22.53967
2011-08-08	13:00	 61.59233	  22.61850
2011-08-08	15:00	 61.69167	  22.57167
2011-08-08	17:00	 61.59200	  22.61817
2011-08-08	19:00	 61.58950	  22.63050
2011-08-08	21:00	 61.58967	  22.63050
2011-08-09	03:00	 61.59067	  22.62983
2011-08-09	05:00	 61.61850	  22.52217
2011-08-09	07:00	 61.67583	  22.52350
2011-08-09	09:00	 61.59750	  22.61217
2011-08-09	11:00	 61.70433	  22.52117
2011-08-09	13:00	 61.56767	  22.63183
2011-08-09	15:00	 61.61967	  22.62350
2011-08-09	17:00	 61.61833	  22.61567
2011-08-09	19:00	 61.63967	  22.60700
2011-08-09	21:00	 61.63933	  22.60700
2011-08-10	03:00	 61.63967	  22.60667
2011-08-10	05:00	 61.68750	  22.55017
2011-08-10	07:00	 61.70050	  22.53133
2011-08-10	09:00	 61.58417	  22.65150
2011-08-10	11:00	 61.70350	  22.53050
2011-08-10	13:00	 61.58650	  22.61667
2011-08-10	15:00	 61.64633	  22.51333
2011-08-10	17:00	 61.59267	  22.61883
2011-08-10	19:00	 61.59033	  22.63267
2011-08-10	21:00	 61.59033	  22.63267
2011-08-11	03:00	 61.59033	  22.63250
2011-08-11	05:00	 61.66300	  22.53967
2011-08-11	07:00	 61.59367	  22.57767
2011-08-11	09:00	 61.70017	  22.52250
2011-08-11	11:00	 61.70367	  22.52133
2011-08-11	13:00	 61.70617	  22.50800
2011-08-11	15:00	 61.65617	  22.51483
2011-08-11	17:00	 61.59133	  22.62883
2011-08-11	19:00	 61.59017	  22.62600
2011-08-11	21:00	 61.59117	  22.62883
2011-08-12	03:00	 61.59133	  22.62883
2011-08-12	05:00	 61.62850	  22.54650
2011-08-12	07:00	 61.68517	  22.50733
2011-08-12	09:00	 61.69883	  22.54300
2011-08-12	11:00	 61.72417	  22.50200
2011-08-12	13:00	 61.59000	  22.60483
2011-08-12	17:00	 61.59283	  22.61867
2011-08-12	21:00	 61.60183	  22.63417
2011-08-13	03:00	 61.60117	  22.63317
2011-08-13	05:00	 61.62483	  22.63350
2011-08-13	11:00	 61.61500	  22.60050
2011-08-13	15:00	 61.70083	  22.52333
2011-08-13	17:00	 61.70650	  22.52083
2011-08-13	19:00	 61.70050	  22.51650
2011-08-13	21:00	 61.70050	  22.51667
2011-08-14	03:00	 61.70033	  22.51550
2011-08-14	05:00	 61.69817	  22.51117
2011-08-14	07:00	 61.58600	  22.60817
2011-08-14	09:00	 61.58700	  22.63967
2011-08-14	11:00	 61.67383	  22.53217
2011-08-14	13:00	 61.68817	  22.50283
2011-08-14	15:00	 61.59350	  22.61733
2011-08-14	17:00	 61.69750	  22.52550
2011-08-14	19:00	 61.59133	  22.62067
2011-08-14	21:00	 61.59233	  22.61967
2011-08-15	03:00	 61.59200	  22.62033
2011-08-15	05:00	 61.59217	  22.61833
2011-08-15	07:00	 61.67550	  22.52633
2011-08-15	09:00	 61.70167	  22.52417
2011-08-15	11:00	 61.58667	  22.63650
2011-08-15	13:00	 61.58417	  22.52567
2011-08-15	15:00	 61.70167	  22.51417
2011-08-15	17:00	 61.59217	  22.62050
2011-08-15	19:00	 61.59217	  22.62067
2011-08-16	03:00	 61.59200	  22.62050
2011-08-16	05:00	 61.62350	  22.55967
2011-08-16	07:00	 61.63717	  22.56100
2011-08-16	09:00	 61.58933	  22.63033
2011-08-16	11:00	 61.57283	  22.64300
2011-08-16	13:00	 61.61417	  22.58383
2011-08-16	15:00	 61.69433	  22.51967
2011-08-16	17:00	 61.59233	  22.62000
2011-08-16	19:00	 61.59333	  22.61817
2011-08-16	21:00	 61.59183	  22.62017
2011-08-17	03:00	 61.58167	  22.61900
2011-08-17	05:00	 61.59467	  22.62133
2011-08-17	07:00	 61.61417	  22.58350
2011-08-17	09:00	 61.71217	  22.52283
2011-08-17	11:00	 61.71383	  22.51200
2011-08-17	13:00	 61.60967	  22.62717
2011-08-17	15:00	 61.69883	  22.51483
2011-08-17	17:00	 61.70533	  22.52300
2011-08-17	19:00	 61.59117	  22.62867
2011-08-17	21:00	 61.59100	  22.62700
2011-08-18	03:00	 61.59083	  22.62850
2011-08-18	05:00	 61.60617	  22.65767
2011-08-18	07:00	 61.61750	  22.61333
2011-08-18	09:00	 61.64233	  22.56550
2011-08-18	11:00	 61.68500	  22.54667
2011-08-18	13:00	 61.66867	  22.69117
2011-08-18	15:00	 61.70500	  22.52900
2011-08-18	17:00	 61.70383	  22.51567
2011-08-18	19:00	 61.70250	  22.51283
2011-08-18	21:00	 61.70250	  22.51267
2011-08-19	05:00	 61.70083	  22.52267
2011-08-19	07:00	 61.69417	  22.51750
2011-08-19	09:00	 61.59300	  22.63400
2011-08-19	11:00	 61.70633	  22.52117
2011-08-19	13:00	 61.62567	  22.51350
2011-08-19	15:00	 61.60017	  22.63133
2011-08-19	17:00	 61.61317	  22.61567
2011-08-19	19:00	 61.61083	  22.62800
2011-08-19	21:00	 61.61267	  22.62667
2011-08-20	03:00	 61.61250	  22.62767
2011-08-20	05:00	 61.69350	  22.52700
2011-08-20	07:00	 61.71000	  22.51483
2011-08-20	09:00	 61.59333	  22.63367
2011-08-20	10:00	 61.59333	  22.63367
2011-08-20	11:00	 61.68217	  22.51250
2011-08-20	13:00	 61.70817	  22.51600
2011-08-20	15:00	 61.66800	  22.57550
