Tunnus, Aikaleima, Longitudi, Latitudi
X1,2014-01-01 00:00:00,70,-8
X1,2014-01-01 00:00:00,70,-7
X1,2014-01-02 00:00:00,70,-6
X1,2014-01-03 00:00:00,70,-5
X1,2014-01-04 00:00:00,70,-4
X1,2014-01-05 00:00:00,70,-3
X1,2014-01-06 00:00:00,70,-2
X1,2014-01-07 00:00:00,70,-1
X1,2014-01-08 00:00:00,70,0
X1,2014-01-09 00:00:00,70,1
X1,2014-01-10 00:00:00,70,2
X1,2014-01-11 00:00:00,70,3
X1,2014-01-12 00:00:00,70,4
X1,2014-01-13 00:00:00,70,5
X1,2014-01-14 00:00:00,70,6
X1,2014-01-15 00:00:00,70,7
X1,2014-01-16 00:00:00,70,8
X1,2014-01-17 00:00:00,70,9
X1,2014-01-18 00:00:00,70,10
X1,2014-01-19 00:00:00,70,11
X1,2014-01-20 00:00:00,70,12
X1,2014-01-21 00:00:00,70,13
X1,2014-01-22 00:00:00,70,14
X1,2014-01-23 00:00:00,70,15
X1,2014-01-24 00:00:00,70,16
X1,2014-01-25 00:00:00,70,17
X1,2014-01-26 00:00:00,70,18
X1,2014-01-27 00:00:00,70,19
X1,2014-01-28 00:00:00,70,20
X1,2014-01-29 00:00:00,70,21
X2,2014-01-01 00:00:00,65,-8
X2,2014-01-01 00:00:00,65,-7.933333333333334
X2,2014-01-02 00:00:00,65,-7.8
X2,2014-01-03 00:00:00,65,-7.6
X2,2014-01-04 00:00:00,65,-7.333333333333333
X2,2014-01-05 00:00:00,65,-7.0
X2,2014-01-06 00:00:00,65,-6.6
X2,2014-01-07 00:00:00,65,-6.133333333333333
X2,2014-01-08 00:00:00,65,-5.6
X2,2014-01-09 00:00:00,65,-5.0
X2,2014-01-10 00:00:00,65,-4.333333333333334
X2,2014-01-11 00:00:00,65,-3.6000000000000005
X2,2014-01-12 00:00:00,65,-2.8000000000000007
X2,2014-01-13 00:00:00,65,-1.9333333333333336
X2,2014-01-14 00:00:00,65,-1.0
X2,2014-01-15 00:00:00,65,0.0
X2,2014-01-16 00:00:00,65,1.0666666666666664
X2,2014-01-17 00:00:00,65,2.1999999999999993
X2,2014-01-18 00:00:00,65,3.3999999999999986
X2,2014-01-19 00:00:00,65,4.666666666666664
X2,2014-01-20 00:00:00,65,5.999999999999998
X2,2014-01-21 00:00:00,65,7.399999999999999
X2,2014-01-22 00:00:00,65,8.866666666666664
X2,2014-01-23 00:00:00,65,10.399999999999999
X2,2014-01-24 00:00:00,65,12.0
X2,2014-01-25 00:00:00,65,13.666666666666668
X2,2014-01-26 00:00:00,65,15.400000000000002
X2,2014-01-27 00:00:00,65,17.200000000000003
X2,2014-01-28 00:00:00,65,19.06666666666667
X2,2014-01-29 00:00:00,65,21.000000000000004
X3,2014-01-01 00:00:00,60,-8
X3,2014-01-01 00:00:00,60,-6.066666666666666
X3,2014-01-02 00:00:00,60,-4.2
X3,2014-01-03 00:00:00,60,-2.4000000000000004
X3,2014-01-04 00:00:00,60,-0.666666666666667
X3,2014-01-05 00:00:00,60,1.0
X3,2014-01-06 00:00:00,60,2.5999999999999996
X3,2014-01-07 00:00:00,60,4.133333333333333
X3,2014-01-08 00:00:00,60,5.6
X3,2014-01-09 00:00:00,60,7.0
X3,2014-01-10 00:00:00,60,8.333333333333332
X3,2014-01-11 00:00:00,60,9.599999999999998
X3,2014-01-12 00:00:00,60,10.799999999999997
X3,2014-01-13 00:00:00,60,11.93333333333333
X3,2014-01-14 00:00:00,60,12.999999999999996
X3,2014-01-15 00:00:00,60,13.999999999999996
X3,2014-01-16 00:00:00,60,14.93333333333333
X3,2014-01-17 00:00:00,60,15.799999999999997
X3,2014-01-18 00:00:00,60,16.599999999999998
X3,2014-01-19 00:00:00,60,17.333333333333332
X3,2014-01-20 00:00:00,60,18.0
X3,2014-01-21 00:00:00,60,18.6
X3,2014-01-22 00:00:00,60,19.133333333333336
X3,2014-01-23 00:00:00,60,19.6
X3,2014-01-24 00:00:00,60,20.0
X3,2014-01-25 00:00:00,60,20.333333333333332
X3,2014-01-26 00:00:00,60,20.599999999999998
X3,2014-01-27 00:00:00,60,20.799999999999997
X3,2014-01-28 00:00:00,60,20.93333333333333
X3,2014-01-29 00:00:00,60,20.999999999999996
X4,2014-01-01 00:00:00,-8,55
X4,2014-01-01 00:10:00,-8,56
X4,2014-01-01 00:20:00,-8,57
X4,2014-01-01 00:30:00,-8,58
X4,2014-01-01 00:40:00,-8,59
X4,2014-01-01 00:50:00,-8,60
X4,2014-01-01 01:00:00,-8,61
X4,2014-01-01 01:10:00,-8,62
X4,2014-01-01 01:20:00,-8,63
X4,2014-01-01 01:30:00,-8,64
X4,2014-01-01 02:00:00,-7,65
X4,2014-01-01 02:20:00,-6,64
X4,2014-01-01 02:40:00,-5,63
X4,2014-01-01 03:00:00,-4,62
X4,2014-01-01 03:20:00,-3,61
X4,2014-01-01 03:40:00,-2,60
X4,2014-01-01 04:00:00,-1,59
X4,2014-01-01 04:20:00,0,58
X4,2014-01-01 04:40:00,1,57
X4,2014-01-01 05:00:00,2,56
X4,2014-01-01 05:00:00,2,55
X4,2014-01-01 05:30:00,2,56
X4,2014-01-01 06:00:00,2,57
X4,2014-01-01 06:30:00,2,58
X4,2014-01-01 07:00:00,2,59
X4,2014-01-01 07:30:00,2,60
X4,2014-01-01 08:00:00,2,61
X4,2014-01-01 08:30:00,2,62
X4,2014-01-01 09:00:00,2,63
X4,2014-01-01 09:30:00,2,64
X4,2014-01-02 10:00:00,7.0,65
X4,2014-01-02 10:10:00,6.1,64
X4,2014-01-02 10:20:00,5.4,63
X4,2014-01-02 10:30:00,4.9,62
X4,2014-01-02 10:40:00,4.6,61
X4,2014-01-02 10:50:00,4.5,60
X4,2014-01-02 11:00:00,4.6,59
X4,2014-01-02 11:10:00,4.9,58
X4,2014-01-02 11:20:00,5.4,57
X4,2014-01-02 11:30:00,6.1,56
X4,2014-01-02 11:40:00,7.0,55
X4,2014-01-02 12:00:00,7.9,56
X4,2014-01-02 12:20:00,8.6,57
X4,2014-01-02 12:40:00,9.1,58
X4,2014-01-02 13:00:00,9.4,59
X4,2014-01-02 13:20:00,9.5,60
X4,2014-01-02 13:40:00,9.4,61
X4,2014-01-02 14:00:00,9.1,62
X4,2014-01-02 14:20:00,8.6,63
X4,2014-01-02 14:40:00,7.9,64
X4,2014-01-04 13:20:00,12,65
X4,2014-01-04 13:40:00,12,64
X4,2014-01-04 14:00:00,12,63
X4,2014-01-04 14:20:00,12,62
X4,2014-01-04 14:40:00,12,61
X4,2014-01-04 15:00:00,12,60
X4,2014-01-04 15:20:00,12,59
X4,2014-01-04 15:40:00,12,58
X4,2014-01-04 16:00:00,12,57
X4,2014-01-04 16:20:00,12,56
X4,2014-01-04 16:40:00,12,55
X4,2014-01-04 17:10:00,12,56
X4,2014-01-04 17:40:00,12,57
X4,2014-01-04 18:10:00,12,58
X4,2014-01-04 18:40:00,12,59
X4,2014-01-04 19:10:00,12,60
X4,2014-01-04 19:40:00,12,61
X4,2014-01-04 20:10:00,12,62
X4,2014-01-04 20:40:00,12,63
X4,2014-01-04 21:10:00,12,64
X4,2014-01-04 21:40:00,12.0,65
X4,2014-01-04 22:20:00,13.666666666666666,64
X4,2014-01-04 23:00:00,14.222222222222221,63
X4,2014-01-04 23:40:00,13.666666666666666,62
X4,2014-01-05 00:20:00,12,61
X4,2014-01-05 01:40:00,13,60
X4,2014-01-05 03:00:00,14,59
X4,2014-01-05 04:20:00,15,58
X4,2014-01-05 05:40:00,16,57
X4,2014-01-05 07:00:00,17,56
X4,2014-01-05 08:20:00,20,55
X4,2014-01-05 08:30:00,20,56
X4,2014-01-05 08:40:00,20,57
X4,2014-01-05 08:50:00,20,58
X4,2014-01-05 09:00:00,20,59
X4,2014-01-05 09:10:00,20,60
X4,2014-01-05 09:20:00,20,61
X4,2014-01-05 09:30:00,20,62
X4,2014-01-05 09:40:00,20,63
X4,2014-01-05 09:50:00,20,64
X4,2014-01-05 10:00:00,16,65
X4,2014-01-05 10:20:00,17,65
X4,2014-01-05 10:40:00,18,65
X4,2014-01-05 11:00:00,19,65
X4,2014-01-05 11:20:00,20,65
X4,2014-01-05 11:40:00,21,65
X4,2014-01-05 12:00:00,22,65
X4,2014-01-05 12:20:00,23,65
X4,2014-01-05 12:40:00,24,65
X4,2014-01-05 13:30:00,23,65
X4,2014-01-05 14:20:00,22,65
X4,2014-01-05 15:10:00,21,65
X4,2014-01-05 16:00:00,20,65
X4,2014-01-05 16:50:00,20,64
X4,2014-01-05 17:40:00,20,63
X4,2014-01-05 18:30:00,20,62
X4,2014-01-05 19:20:00,20,61
X4,2014-01-05 20:10:00,20,60
X4,2014-01-05 21:00:00,20,59
X4,2014-01-05 21:50:00,20,58
X4,2014-01-05 22:40:00,20,57
X4,2014-01-05 23:30:00,20,56
X4,2014-01-06 00:20:00,25,55
X4,2014-01-06 00:40:00,25,56
X4,2014-01-06 01:00:00,25,57
X4,2014-01-06 01:20:00,25,58
X4,2014-01-06 01:40:00,25,59
X4,2014-01-06 02:00:00,25,60
X4,2014-01-06 02:20:00,25,61
X4,2014-01-06 02:40:00,25,62
X4,2014-01-06 03:00:00,25,63
X4,2014-01-06 03:20:00,25,64
X4,2014-01-06 03:40:00,21,65
X4,2014-01-06 04:40:00,22,65
X4,2014-01-06 05:40:00,23,65
X4,2014-01-06 06:40:00,24,65
X4,2014-01-06 07:40:00,25,65
X4,2014-01-06 08:40:00,26,65
X4,2014-01-06 09:40:00,27,65
X4,2014-01-06 10:40:00,28,65
X4,2014-01-06 11:40:00,29,65
X4,2014-01-06 12:40:00,28,65
X4,2014-01-06 13:40:00,27,65
X4,2014-01-06 14:40:00,26,65
