Aikaleima, Longitudi, Latitudi
2014-01-01 00:00:00,-8.0,55.0
2014-01-01 00:00:01,-8.0,55.01
2014-01-01 00:00:02,-8.0,55.02
2014-01-01 00:00:03,-8.0,55.03
2014-01-01 00:00:04,-8.0,55.04
2014-01-01 00:00:05,-8.0,55.05
2014-01-01 00:00:06,-8.0,55.06
2014-01-01 00:00:07,-8.0,55.07
2014-01-01 00:00:08,-8.0,55.08
2014-01-01 00:00:09,-8.0,55.09
2014-01-01 00:00:10,-8.0,55.1
2014-01-01 00:00:11,-8.0,55.11
2014-01-01 00:00:12,-8.0,55.12
2014-01-01 00:00:13,-8.0,55.13
2014-01-01 00:00:14,-8.0,55.14
2014-01-01 00:00:15,-8.0,55.15
2014-01-01 00:00:16,-8.0,55.16
2014-01-01 00:00:17,-8.0,55.17
2014-01-01 00:00:18,-8.0,55.18
2014-01-01 00:00:19,-8.0,55.19
2014-01-01 00:00:20,-8.0,55.2
2014-01-01 00:00:21,-8.0,55.21
2014-01-01 00:00:22,-8.0,55.22
2014-01-01 00:00:23,-8.0,55.23
2014-01-01 00:00:24,-8.0,55.24
2014-01-01 00:00:25,-8.0,55.25
2014-01-01 00:00:26,-8.0,55.26
2014-01-01 00:00:27,-8.0,55.27
2014-01-01 00:00:28,-8.0,55.28
2014-01-01 00:00:29,-8.0,55.29
2014-01-01 00:00:30,-8.0,55.3
2014-01-01 00:00:31,-8.0,55.31
2014-01-01 00:00:32,-8.0,55.32
2014-01-01 00:00:33,-8.0,55.33
2014-01-01 00:00:34,-8.0,55.34
2014-01-01 00:00:35,-8.0,55.35
2014-01-01 00:00:36,-8.0,55.36
2014-01-01 00:00:37,-8.0,55.37
2014-01-01 00:00:38,-8.0,55.38
2014-01-01 00:00:39,-8.0,55.39
2014-01-01 00:00:40,-8.0,55.4
2014-01-01 00:00:41,-8.0,55.41
2014-01-01 00:00:42,-8.0,55.42
2014-01-01 00:00:43,-8.0,55.43
2014-01-01 00:00:44,-8.0,55.44
2014-01-01 00:00:45,-8.0,55.45
2014-01-01 00:00:46,-8.0,55.46
2014-01-01 00:00:47,-8.0,55.47
2014-01-01 00:00:48,-8.0,55.48
2014-01-01 00:00:49,-8.0,55.49
2014-01-01 00:00:50,-8.0,55.5
2014-01-01 00:00:51,-8.0,55.51
2014-01-01 00:00:52,-8.0,55.52
2014-01-01 00:00:53,-8.0,55.53
2014-01-01 00:00:54,-8.0,55.54
2014-01-01 00:00:55,-8.0,55.55
2014-01-01 00:00:56,-8.0,55.56
2014-01-01 00:00:57,-8.0,55.57
2014-01-01 00:00:58,-8.0,55.58
2014-01-01 00:00:59,-8.0,55.59
2014-01-01 00:01:00,-8.0,55.6
2014-01-01 00:01:01,-8.0,55.61
2014-01-01 00:01:02,-8.0,55.62
2014-01-01 00:01:03,-8.0,55.63
2014-01-01 00:01:04,-8.0,55.64
2014-01-01 00:01:05,-8.0,55.65
2014-01-01 00:01:06,-8.0,55.66
2014-01-01 00:01:07,-8.0,55.67
2014-01-01 00:01:08,-8.0,55.68
2014-01-01 00:01:09,-8.0,55.69
2014-01-01 00:01:10,-8.0,55.7
2014-01-01 00:01:11,-8.0,55.71
2014-01-01 00:01:12,-8.0,55.72
2014-01-01 00:01:13,-8.0,55.73
2014-01-01 00:01:14,-8.0,55.74
2014-01-01 00:01:15,-8.0,55.75
2014-01-01 00:01:16,-8.0,55.76
2014-01-01 00:01:17,-8.0,55.77
2014-01-01 00:01:18,-8.0,55.78
2014-01-01 00:01:19,-8.0,55.79
2014-01-01 00:01:20,-8.0,55.8
2014-01-01 00:01:21,-8.0,55.81
2014-01-01 00:01:22,-8.0,55.82
2014-01-01 00:01:23,-8.0,55.83
2014-01-01 00:01:24,-8.0,55.84
2014-01-01 00:01:25,-8.0,55.85
2014-01-01 00:01:26,-8.0,55.86
2014-01-01 00:01:27,-8.0,55.87
2014-01-01 00:01:28,-8.0,55.88
2014-01-01 00:01:29,-8.0,55.89
2014-01-01 00:01:30,-8.0,55.9
2014-01-01 00:01:31,-8.0,55.91
2014-01-01 00:01:32,-8.0,55.92
2014-01-01 00:01:33,-8.0,55.93
2014-01-01 00:01:34,-8.0,55.94
2014-01-01 00:01:35,-8.0,55.95
2014-01-01 00:01:36,-8.0,55.96
2014-01-01 00:01:37,-8.0,55.97
2014-01-01 00:01:38,-8.0,55.98
2014-01-01 00:01:39,-8.0,55.99
2014-01-01 00:01:40,-8.0,56.0
2014-01-01 00:01:41,-8.0,56.01
2014-01-01 00:01:42,-8.0,56.02
2014-01-01 00:01:43,-8.0,56.03
2014-01-01 00:01:44,-8.0,56.04
2014-01-01 00:01:45,-8.0,56.05
2014-01-01 00:01:46,-8.0,56.06
2014-01-01 00:01:47,-8.0,56.07
2014-01-01 00:01:48,-8.0,56.08
2014-01-01 00:01:49,-8.0,56.09
2014-01-01 00:01:50,-8.0,56.1
2014-01-01 00:01:51,-8.0,56.11
2014-01-01 00:01:52,-8.0,56.12
2014-01-01 00:01:53,-8.0,56.13
2014-01-01 00:01:54,-8.0,56.14
2014-01-01 00:01:55,-8.0,56.15
2014-01-01 00:01:56,-8.0,56.16
2014-01-01 00:01:57,-8.0,56.17
2014-01-01 00:01:58,-8.0,56.18
2014-01-01 00:01:59,-8.0,56.19
2014-01-01 00:02:00,-8.0,56.2
2014-01-01 00:02:01,-8.0,56.21
2014-01-01 00:02:02,-8.0,56.22
2014-01-01 00:02:03,-8.0,56.23
2014-01-01 00:02:04,-8.0,56.24
2014-01-01 00:02:05,-8.0,56.25
2014-01-01 00:02:06,-8.0,56.26
2014-01-01 00:02:07,-8.0,56.27
2014-01-01 00:02:08,-8.0,56.28
2014-01-01 00:02:09,-8.0,56.29
2014-01-01 00:02:10,-8.0,56.3
2014-01-01 00:02:11,-8.0,56.31
2014-01-01 00:02:12,-8.0,56.32
2014-01-01 00:02:13,-8.0,56.33
2014-01-01 00:02:14,-8.0,56.34
2014-01-01 00:02:15,-8.0,56.35
2014-01-01 00:02:16,-8.0,56.36
2014-01-01 00:02:17,-8.0,56.37
2014-01-01 00:02:18,-8.0,56.38
2014-01-01 00:02:19,-8.0,56.39
2014-01-01 00:02:20,-8.0,56.4
2014-01-01 00:02:21,-8.0,56.41
2014-01-01 00:02:22,-8.0,56.42
2014-01-01 00:02:23,-8.0,56.43
2014-01-01 00:02:24,-8.0,56.44
2014-01-01 00:02:25,-8.0,56.45
2014-01-01 00:02:26,-8.0,56.46
2014-01-01 00:02:27,-8.0,56.47
2014-01-01 00:02:28,-8.0,56.48
2014-01-01 00:02:29,-8.0,56.49
2014-01-01 00:02:30,-8.0,56.5
2014-01-01 00:02:31,-8.0,56.51
2014-01-01 00:02:32,-8.0,56.52
2014-01-01 00:02:33,-8.0,56.53
2014-01-01 00:02:34,-8.0,56.54
2014-01-01 00:02:35,-8.0,56.55
2014-01-01 00:02:36,-8.0,56.56
2014-01-01 00:02:37,-8.0,56.57
2014-01-01 00:02:38,-8.0,56.58
2014-01-01 00:02:39,-8.0,56.59
2014-01-01 00:02:40,-8.0,56.6
2014-01-01 00:02:41,-8.0,56.61
2014-01-01 00:02:42,-8.0,56.62
2014-01-01 00:02:43,-8.0,56.63
2014-01-01 00:02:44,-8.0,56.64
2014-01-01 00:02:45,-8.0,56.65
2014-01-01 00:02:46,-8.0,56.66
2014-01-01 00:02:47,-8.0,56.67
2014-01-01 00:02:48,-8.0,56.68
2014-01-01 00:02:49,-8.0,56.69
2014-01-01 00:02:50,-8.0,56.7
2014-01-01 00:02:51,-8.0,56.71
2014-01-01 00:02:52,-8.0,56.72
2014-01-01 00:02:53,-8.0,56.73
2014-01-01 00:02:54,-8.0,56.74
2014-01-01 00:02:55,-8.0,56.75
2014-01-01 00:02:56,-8.0,56.76
